,hs300
2005-01-31 00:00:00,954.88
2005-02-28 00:00:00,1039.99
2005-03-31 00:00:00,942.2
2005-04-29 00:00:00,932.4
2005-05-31 00:00:00,855.95
2005-06-30 00:00:00,878.69
2005-07-29 00:00:00,888.16
2005-08-31 00:00:00,927.92
2005-09-30 00:00:00,917.39
2005-10-31 00:00:00,876.28
2005-11-30 00:00:00,873.83
2005-12-30 00:00:00,923.45
2006-01-25 00:00:00,1009.6
2006-02-28 00:00:00,1053.01
2006-03-31 00:00:00,1061.09
2006-04-28 00:00:00,1172.35
2006-05-31 00:00:00,1365.45
2006-06-30 00:00:00,1393.96
2006-07-31 00:00:00,1294.33
2006-08-31 00:00:00,1338.69
2006-09-29 00:00:00,1403.27
2006-10-31 00:00:00,1464.47
2006-11-30 00:00:00,1714.36
2006-12-29 00:00:00,2041.05
2007-01-31 00:00:00,2385.34
2007-02-28 00:00:00,2544.57
2007-03-30 00:00:00,2781.78
2007-04-30 00:00:00,3558.71
2007-05-31 00:00:00,3927.95
2007-06-29 00:00:00,3764.08
2007-07-31 00:00:00,4460.56
2007-08-31 00:00:00,5296.81
2007-09-28 00:00:00,5580.81
2007-10-31 00:00:00,5688.54
2007-11-30 00:00:00,4737.41
2007-12-28 00:00:00,5338.28
2008-01-31 00:00:00,4620.4
2008-02-29 00:00:00,4674.55
2008-03-31 00:00:00,3790.53
2008-04-30 00:00:00,3959.12
2008-05-30 00:00:00,3611.33
2008-06-30 00:00:00,2791.82
2008-07-31 00:00:00,2805.21
2008-08-29 00:00:00,2391.64
2008-09-26 00:00:00,2243.66
2008-10-31 00:00:00,1663.66
2008-11-28 00:00:00,1829.92
2008-12-31 00:00:00,1817.72
2009-01-23 00:00:00,2032.68
2009-02-27 00:00:00,2140.49
2009-03-31 00:00:00,2507.79
2009-04-30 00:00:00,2622.93
2009-05-27 00:00:00,2759.71
2009-06-30 00:00:00,3166.47
2009-07-31 00:00:00,3734.62
2009-08-31 00:00:00,2830.27
2009-09-30 00:00:00,3004.81
2009-10-30 00:00:00,3280.37
2009-11-30 00:00:00,3511.67
2009-12-31 00:00:00,3575.68
2010-01-29 00:00:00,3204.16
2010-02-26 00:00:00,3281.67
2010-03-31 00:00:00,3345.61
2010-04-30 00:00:00,3067.37
2010-05-31 00:00:00,2773.26
2010-06-30 00:00:00,2563.07
2010-07-30 00:00:00,2868.85
2010-08-31 00:00:00,2903.19
2010-09-30 00:00:00,2935.57
2010-10-29 00:00:00,3379.98
2010-11-30 00:00:00,3136.99
2010-12-31 00:00:00,3128.26
2011-01-31 00:00:00,3076.51
2011-02-28 00:00:00,3239.56
2011-03-31 00:00:00,3223.29
2011-04-29 00:00:00,3192.72
2011-05-31 00:00:00,3001.56
2011-06-30 00:00:00,3044.09
2011-07-29 00:00:00,2972.08
2011-08-31 00:00:00,2846.78
2011-09-30 00:00:00,2581.35
2011-10-31 00:00:00,2695.31
2011-11-30 00:00:00,2521.52
2011-12-30 00:00:00,2345.74
2012-01-31 00:00:00,2464.26
2012-02-29 00:00:00,2634.14
2012-03-30 00:00:00,2454.9
2012-04-27 00:00:00,2626.16
2012-05-31 00:00:00,2632.04
2012-06-29 00:00:00,2461.61
2012-07-31 00:00:00,2332.92
2012-08-31 00:00:00,2204.87
2012-09-28 00:00:00,2293.11
2012-10-31 00:00:00,2254.82
2012-11-30 00:00:00,2139.66
2012-12-31 00:00:00,2522.95
2013-01-31 00:00:00,2686.88
2013-02-28 00:00:00,2673.33
2013-03-29 00:00:00,2495.08
2013-04-26 00:00:00,2447.31
2013-05-31 00:00:00,2606.43
2013-06-28 00:00:00,2200.64
2013-07-31 00:00:00,2193.02
2013-08-30 00:00:00,2313.91
2013-09-30 00:00:00,2409.04
2013-10-31 00:00:00,2373.72
2013-11-29 00:00:00,2438.94
2013-12-31 00:00:00,2330.03
2014-01-30 00:00:00,2202.45
2014-02-28 00:00:00,2178.97
2014-03-31 00:00:00,2146.31
2014-04-30 00:00:00,2158.66
2014-05-30 00:00:00,2156.46
2014-06-30 00:00:00,2165.12
2014-07-31 00:00:00,2350.25
2014-08-29 00:00:00,2338.29
2014-09-30 00:00:00,2450.99
2014-10-31 00:00:00,2508.33
2014-11-28 00:00:00,2808.82
2014-12-31 00:00:00,3533.71
2015-01-30 00:00:00,3434.39
2015-02-27 00:00:00,3572.84
2015-03-31 00:00:00,4051.2
2015-04-30 00:00:00,4749.89
2015-05-29 00:00:00,4840.83
2015-06-30 00:00:00,4473
2015-07-31 00:00:00,3816.7
2015-08-31 00:00:00,3366.54
2015-09-30 00:00:00,3202.95
2015-10-30 00:00:00,3534.08
2015-11-30 00:00:00,3566.41
2015-12-31 00:00:00,3731
2016-01-29 00:00:00,2946.09
2016-02-29 00:00:00,2877.47
2016-03-31 00:00:00,3218.09
2016-04-29 00:00:00,3156.75
2016-05-31 00:00:00,3169.56
2016-06-30 00:00:00,3153.92
2016-07-29 00:00:00,3203.93
2016-08-31 00:00:00,3327.79
2016-09-30 00:00:00,3253.29
2016-10-31 00:00:00,3336.28
2016-11-30 00:00:00,3538
2016-12-30 00:00:00,3310.08
2017-01-26 00:00:00,3387.96
2017-02-28 00:00:00,3452.81
2017-03-31 00:00:00,3456.05
2017-04-28 00:00:00,3439.75
2017-05-31 00:00:00,3492.88
2017-06-30 00:00:00,3666.8
2017-07-31 00:00:00,3737.87
2017-08-31 00:00:00,3822.09
2017-09-29 00:00:00,3836.5
2017-10-31 00:00:00,4006.72
2017-11-30 00:00:00,4006.1
2017-12-29 00:00:00,4030.86
